2011 Statistical Area Level 1  (SA1) 7-Digit Code,Usual Resident Population,Score,Ranking within Australia Rank,Ranking within Australia Decile, Ranking within Australia Percentile,Ranking within State or Territory State,Ranking within State or Territory Rank,Ranking within State or Territory Decile,Ranking within State or Territory Percentile
2107425,330,1067,38428,8,74,VIC,9288,8,72
2107426,420,1082,42307,9,81,VIC,10344,8,80
2107427,607,807,2236,1,5,VIC,385,1,3
2107428,462,938,11403,3,22,VIC,2433,2,19
2107429,209,916,8787,2,17,VIC,1872,2,15
2107430,294,917,8906,2,17,VIC,1901,2,15
2107432,279,860,4379,1,9,VIC,921,1,8
2107433,464,967,15611,3,30,VIC,3357,3,26
2107434,481,920,9255,2,18,VIC,1972,2,16
2107435,213,1102,46847,9,90,VIC,11593,9,90
2107436,279,1071,39476,8,76,VIC,9599,8,75
2107437,599,1064,37702,8,72,VIC,9079,8,71
2107438,364,996,20791,4,40,VIC,4559,4,36
2107439,535,761,1349,1,3,VIC,190,1,2
2107440,742,1018,25847,5,50,VIC,5835,5,46
2107441,558,937,11247,3,22,VIC,2397,2,19
2107442,383,918,8971,2,18,VIC,1911,2,15
2107443,532,854,4054,1,8,VIC,841,1,7
2107444,567,1074,40204,8,77,VIC,9802,8,76
2107445,337,922,9501,2,19,VIC,2021,2,16
2107446,474,1102,46882,9,90,VIC,11606,9,90
2107447,355,1131,51339,10,98,VIC,12706,10,99
2107449,183,1105,47449,10,91,VIC,11755,10,91
2107450,156,1010,23932,5,46,VIC,5365,5,42
2107451,401,798,1993,1,4,VIC,325,1,3
2107452,582,1038,30749,6,59,VIC,7186,6,56
2107453,322,939,11452,3,22,VIC,2442,2,19
2107455,255,1103,47079,9,90,VIC,11660,10,91
2107501,560,1016,25318,5,49,VIC,5679,5,44
2107502,437,965,15205,3,29,VIC,3266,3,26
2107503,312,1073,39930,8,76,VIC,9727,8,76
2107504,314,1088,43656,9,84,VIC,10706,9,83
2107505,194,1061,36898,8,71,VIC,8838,7,69
2107506,396,1081,41916,8,80,VIC,10242,8,80
2107507,397,1097,45813,9,88,VIC,11298,9,88
2107508,235,1035,29996,6,58,VIC,6956,6,54
2107509,450,1053,34689,7,66,VIC,8226,7,64
2107510,444,1045,32583,7,62,VIC,7663,6,60
2107511,288,1100,46303,9,89,VIC,11453,9,89
2107512,388,1040,31382,6,60,VIC,7339,6,57
2107601,376,839,3357,1,7,VIC,659,1,6
2107602,975,908,8067,2,16,VIC,1719,2,14
2107603,240,970,16084,4,31,VIC,3461,3,27
2107604,553,959,14238,3,28,VIC,3077,3,24
2107605,199,929,10265,2,20,VIC,2190,2,17
2107606,717,959,14323,3,28,VIC,3094,3,24
2107607,643,986,18946,4,37,VIC,4135,4,32
2107608,528,1008,23409,5,45,VIC,5230,5,41
2107609,538,1002,22219,5,43,VIC,4914,4,38
2107610,493,1075,40391,8,77,VIC,9852,8,77
2107611,316,1033,29495,6,57,VIC,6826,6,53
2107612,266,1006,22994,5,44,VIC,5122,4,40
2107613,415,1053,34761,7,67,VIC,8251,7,64
2107614,393,1031,28930,6,56,VIC,6672,6,52
2107615,229,1054,34935,7,67,VIC,8289,7,65
2107616,526,950,13041,3,25,VIC,2804,3,22
2107617,482,915,8719,2,17,VIC,1858,2,15
2107618,295,1037,30624,6,59,VIC,7144,6,56
2107619,299,1103,47012,9,90,VIC,11647,10,91
2107620,447,1060,36638,7,70,VIC,8767,7,68
2107621,512,1068,38648,8,74,VIC,9353,8,73
2107622,300,905,7750,2,15,VIC,1644,2,13
2107623,179,1034,29762,6,57,VIC,6899,6,54
2107624,309,1012,24493,5,47,VIC,5487,5,43
2107625,135,970,16046,4,31,VIC,3447,3,27
2107626,132,1021,26583,6,51,VIC,6032,5,47
2107627,247,960,14489,3,28,VIC,3121,3,25
2107628,275,962,14768,3,29,VIC,3180,3,25
2107629,592,1016,25428,5,49,VIC,5718,5,45
2107630,360,948,12718,3,25,VIC,2724,3,22
2107631,632,964,15115,3,29,VIC,3242,3,26
2107632,440,810,2347,1,5,VIC,409,1,4
2107633,181,1041,31765,7,61,VIC,7453,6,58
2107702,181,1069,39012,8,75,VIC,9464,8,74
2107703,276,928,10128,2,20,VIC,2161,2,17
2107704,239,1012,24461,5,47,VIC,5477,5,43
2107705,324,957,14039,3,27,VIC,3030,3,24
2107708,300,987,19193,4,37,VIC,4185,4,33
2107709,426,994,20468,4,39,VIC,4496,4,35
2107710,213,1001,21904,5,42,VIC,4827,4,38
2107711,327,870,4957,1,10,VIC,1049,1,9
2107712,524,1045,32625,7,63,VIC,7675,6,60
2107713,416,1011,24185,5,47,VIC,5427,5,42
2107714,468,1050,33886,7,65,VIC,8019,7,62
2107715,359,1025,27614,6,53,VIC,6306,5,49
2107716,345,1080,41861,8,80,VIC,10228,8,80
2107717,228,1062,37056,8,71,VIC,8897,7,69
2107719,492,1041,31584,7,61,VIC,7393,6,58
2107720,202,1011,24162,5,46,VIC,5424,5,42
2107721,355,1020,26264,5,50,VIC,5943,5,46
2107722,259,1057,35939,7,69,VIC,8571,7,67
2107801,580,983,18314,4,35,VIC,3983,4,31
2107802,358,1017,25534,5,49,VIC,5741,5,45
2107803,222,1040,31457,6,60,VIC,7353,6,57
2107804,280,1036,30204,6,58,VIC,7016,6,55
2107805,303,1068,38602,8,74,VIC,9333,8,73
2107806,417,961,14555,3,28,VIC,3132,3,25
2107807,193,1051,34302,7,66,VIC,8132,7,63
2107808,389,957,14005,3,27,VIC,3024,3,24
2107809,420,948,12656,3,25,VIC,2712,3,21
2107810,233,928,10168,2,20,VIC,2170,2,17
2107811,662,1055,35242,7,68,VIC,8368,7,65
2107812,595,1006,23135,5,45,VIC,5165,4,40
2107813,221,1037,30623,6,59,VIC,7143,6,56
2107814,360,1030,28871,6,55,VIC,6654,6,52
2107815,218,1042,31987,7,61,VIC,7511,6,59
2107816,181,1004,22524,5,43,VIC,4992,4,39
2107817,505,999,21587,5,42,VIC,4760,4,37
2107818,152,1030,28779,6,55,VIC,6634,6,52
2107819,261,1056,35661,7,68,VIC,8480,7,66
2107820,243,929,10275,2,20,VIC,2192,2,17
2107821,286,965,15308,3,30,VIC,3302,3,26
2107901,311,1020,26265,5,50,VIC,5944,5,46
2107902,535,992,20072,4,39,VIC,4404,4,35
2107903,392,1041,31641,7,61,VIC,7409,6,58
2107904,449,987,19204,4,37,VIC,4189,4,33
2107905,531,972,16322,4,32,VIC,3509,3,28
2107906,349,845,3613,1,7,VIC,722,1,6
2107907,378,1068,38710,8,74,VIC,9368,8,73
2107908,390,1068,38764,8,74,VIC,9384,8,73
2107909,294,959,14296,3,28,VIC,3086,3,24
2107910,472,987,19060,4,37,VIC,4158,4,33
2107911,307,1019,26000,5,50,VIC,5876,5,46
2107912,435,833,3097,1,6,VIC,587,1,5
2107913,462,934,10816,3,21,VIC,2305,2,18
2107914,281,1068,38667,8,74,VIC,9357,8,73
2107915,323,1067,38575,8,74,VIC,9331,8,73
2107916,460,1008,23450,5,45,VIC,5234,5,41
2107917,348,1018,25925,5,50,VIC,5855,5,46
2107918,225,988,19241,4,37,VIC,4201,4,33
2107919,264,1082,42263,9,81,VIC,10337,8,80
2107920,317,1050,34128,7,65,VIC,8086,7,63
2107921,473,1115,49157,10,94,VIC,12186,10,95
2107922,370,1086,43304,9,83,VIC,10599,9,82
2107923,423,962,14825,3,29,VIC,3188,3,25
2107924,229,938,11361,3,22,VIC,2420,2,19
2107925,482,975,16965,4,33,VIC,3662,3,29
2107926,388,1060,36545,7,70,VIC,8736,7,68
2107927,552,947,12606,3,24,VIC,2704,3,21
2107928,672,1049,33733,7,65,VIC,7986,7,62
2107929,422,874,5210,1,10,VIC,1097,1,9
2107930,406,1100,46448,9,89,VIC,11497,9,89
2107931,454,1028,28360,6,54,VIC,6519,6,51
2107932,559,1095,45160,9,86,VIC,11114,9,86
2107933,349,1051,34334,7,66,VIC,8138,7,63
2107934,903,1036,30225,6,58,VIC,7028,6,55
2107935,481,749,1179,1,3,VIC,159,1,2
2107936,372,1082,42225,9,81,VIC,10318,8,80
2107937,348,1061,36953,8,71,VIC,8857,7,69
2107938,401,1038,30744,6,59,VIC,7184,6,56
2107939,518,855,4128,1,8,VIC,855,1,7
2107940,412,1104,47219,9,90,VIC,11697,10,91
2108101,129,1024,27251,6,52,VIC,6201,5,48
2108102,1078,1060,36704,7,70,VIC,8779,7,68
2108103,240,1043,32074,7,62,VIC,7537,6,59
2108104,611,1065,38051,8,73,VIC,9182,8,71
2108105,453,1048,33573,7,64,VIC,7939,7,62
2108106,506,1037,30571,6,59,VIC,7127,6,56
2108107,589,1005,22768,5,44,VIC,5063,4,40
2108108,859,1035,30172,6,58,VIC,7005,6,55
2108109,612,929,10236,2,20,VIC,2181,2,17
2108110,480,834,3150,1,6,VIC,601,1,5
2108111,268,864,4594,1,9,VIC,970,1,8
2108112,387,949,12788,3,25,VIC,2749,3,22
2108113,565,902,7460,2,15,VIC,1578,2,13
