2011 Statistical Area Level 1  (SA1) 7-Digit Code,Usual Resident Population,Score,Ranking within Australia Rank,Ranking within Australia Decile, Ranking within Australia Percentile,Ranking within State or Territory State,Ranking within State or Territory Rank,Ranking within State or Territory Decile,Ranking within State or Territory Percentile
1125706,189,1011,24109,5,46,NSW,8308,5,49
1125707,434,1027,28077,6,54,NSW,9506,6,56
1125708,298,1023,27096,6,52,NSW,9206,6,54
1125709,429,1024,27308,6,52,NSW,9265,6,55
1125710,418,1010,23976,5,46,NSW,8274,5,49
1125711,441,991,19934,4,38,NSW,7054,5,42
1125712,488,1033,29556,6,57,NSW,9931,6,58
1125713,277,971,16208,4,31,NSW,5881,4,35
1125714,234,1041,31767,7,61,NSW,10564,7,62
1125715,260,1095,45301,9,87,NSW,14466,9,85
1125716,195,1054,35093,7,67,NSW,11523,7,68
1125717,295,997,21113,5,41,NSW,7438,5,44
1125718,287,895,6788,2,13,NSW,2628,2,16
1125719,167,1001,21965,5,42,NSW,7676,5,45
1125720,391,916,8828,2,17,NSW,3389,2,20
1125721,308,1018,25907,5,50,NSW,8852,6,52
1125722,371,1047,33331,7,64,NSW,11014,7,65
1125723,311,1052,34440,7,66,NSW,11332,7,67
1125724,219,1122,50284,10,96,NSW,16182,10,95
1125725,263,1049,33751,7,65,NSW,11154,7,66
1125726,490,987,19163,4,37,NSW,6822,4,40
1125727,311,947,12492,3,24,NSW,4627,3,28
1125728,352,992,20080,4,39,NSW,7096,5,42
1125729,207,1019,26014,5,50,NSW,8886,6,52
1125730,380,842,3490,1,7,NSW,1389,1,9
1125731,216,817,2558,1,5,NSW,1026,1,6
1125732,503,881,5734,2,11,NSW,2218,2,13
1125733,296,853,4030,1,8,NSW,1567,1,10
1125734,351,887,6187,2,12,NSW,2404,2,15
1125735,260,950,12949,3,25,NSW,4778,3,28
1125736,343,928,10181,2,20,NSW,3844,3,23
1125737,225,962,14674,3,28,NSW,5346,4,32
1125738,259,989,19480,4,38,NSW,6917,5,41
1125740,270,953,13398,3,26,NSW,4940,3,29
1125741,414,991,19895,4,38,NSW,7038,5,42
1125742,190,1042,31915,7,61,NSW,10604,7,62
1125801,279,913,8434,2,17,NSW,3252,2,19
1125802,650,950,13019,3,25,NSW,4804,3,29
1125804,394,914,8596,2,17,NSW,3314,2,20
1125805,282,912,8423,2,17,NSW,3246,2,19
1125807,290,1003,22431,5,43,NSW,7843,5,46
1125808,187,893,6665,2,13,NSW,2583,2,16
1125809,312,855,4117,1,8,NSW,1603,1,10
1125810,346,1018,25850,5,50,NSW,8828,6,52
1125811,375,979,17673,4,34,NSW,6341,4,38
1125812,125,948,12763,3,25,NSW,4717,3,28
1125813,310,1076,40644,8,78,NSW,13030,8,77
1125814,243,1019,26167,5,50,NSW,8928,6,53
1125815,319,895,6783,2,13,NSW,2627,2,16
1125816,368,703,765,1,2,NSW,285,1,2
1125817,348,902,7450,2,15,NSW,2888,2,17
1125818,511,856,4175,1,8,NSW,1622,1,10
1125819,211,930,10325,2,20,NSW,3897,3,23
1125820,374,937,11284,3,22,NSW,4231,3,25
1125821,388,1063,37429,8,72,NSW,12176,8,72
1125822,296,1002,22243,5,43,NSW,7777,5,46
1125823,236,1003,22400,5,43,NSW,7831,5,46
1125824,301,953,13443,3,26,NSW,4955,3,29
1125825,241,904,7630,2,15,NSW,2953,2,18
1125826,404,1021,26642,6,51,NSW,9067,6,53
1125827,506,1049,33878,7,65,NSW,11181,7,66
1125828,406,934,10915,3,21,NSW,4091,3,24
1125829,468,999,21535,5,41,NSW,7559,5,45
1125830,441,1055,35380,7,68,NSW,11607,7,68
1125831,193,1006,22943,5,44,NSW,7980,5,47
1125901,272,907,7888,2,16,NSW,3050,2,18
1125902,368,923,9532,2,19,NSW,3632,3,22
1125903,342,931,10467,2,20,NSW,3948,3,24
1125904,199,864,4588,1,9,NSW,1770,2,11
1125905,438,931,10463,2,20,NSW,3945,3,24
1125906,227,809,2309,1,5,NSW,927,1,6
1125907,466,863,4566,1,9,NSW,1759,2,11
1125908,326,886,6071,2,12,NSW,2360,2,14
1125909,392,1014,24817,5,48,NSW,8517,5,50
1125910,313,1043,32191,7,62,NSW,10668,7,63
1125911,219,1067,38441,8,74,NSW,12450,8,73
1125912,183,1002,22264,5,43,NSW,7787,5,46
1125913,324,872,5093,1,10,NSW,1957,2,12
1125914,209,917,8953,2,18,NSW,3430,3,21
1125915,210,938,11367,3,22,NSW,4259,3,25
1125916,205,1037,30423,6,58,NSW,10173,6,60
1125917,247,925,9812,2,19,NSW,3729,3,22
1125918,232,772,1499,1,3,NSW,610,1,4
1125919,315,836,3232,1,7,NSW,1302,1,8
1125921,225,866,4735,1,10,NSW,1820,2,11
1125922,405,1033,29464,6,57,NSW,9911,6,58
1126001,476,878,5524,2,11,NSW,2126,2,13
1126002,514,912,8418,2,17,NSW,3242,2,19
1126003,314,954,13570,3,26,NSW,4989,3,30
1126004,222,909,8122,2,16,NSW,3134,2,19
1126005,329,1002,22089,5,43,NSW,7723,5,46
1126006,225,926,9863,2,19,NSW,3746,3,22
1126007,305,974,16740,4,32,NSW,6048,4,36
1126009,244,995,20624,4,40,NSW,7281,5,43
1126011,23,898,7088,2,14,NSW,2748,2,17
1126012,336,1043,32141,7,62,NSW,10657,7,63
1126013,230,1061,37023,8,71,NSW,12066,8,71
1126014,156,882,5795,2,12,NSW,2240,2,14
1126101,359,945,12227,3,24,NSW,4542,3,27
1126102,443,993,20266,4,39,NSW,7155,5,42
1126103,474,1026,27830,6,53,NSW,9436,6,56
1126104,366,898,7122,2,14,NSW,2757,2,17
1126105,446,881,5759,2,11,NSW,2228,2,14
1126106,344,1026,27718,6,53,NSW,9394,6,55
1126107,213,971,16283,4,31,NSW,5905,4,35
1126108,398,903,7538,2,15,NSW,2922,2,18
1126109,211,884,5943,2,12,NSW,2304,2,14
1126110,329,860,4355,1,9,NSW,1688,1,10
1126111,392,892,6587,2,13,NSW,2552,2,15
1126112,456,999,21585,5,42,NSW,7570,5,45
1126113,424,950,12933,3,25,NSW,4773,3,28
1126114,330,889,6317,2,13,NSW,2447,2,15
1126115,415,841,3422,1,7,NSW,1372,1,9
1126116,236,1014,24846,5,48,NSW,8533,5,50
1126117,237,898,7055,2,14,NSW,2738,2,16
1126118,156,995,20675,4,40,NSW,7302,5,43
1126120,56,1013,24632,5,47,NSW,8463,5,50
1126201,291,804,2171,1,5,NSW,868,1,6
1126202,201,935,11002,3,21,NSW,4120,3,25
1126203,394,996,20789,4,40,NSW,7333,5,43
1126204,193,1041,31659,7,61,NSW,10535,7,62
1126205,365,1047,33156,7,64,NSW,10952,7,64
1126206,283,1046,33053,7,63,NSW,10923,7,64
1126207,167,1029,28562,6,55,NSW,9640,6,57
1126208,268,1043,32179,7,62,NSW,10666,7,63
1126209,121,1046,32978,7,63,NSW,10910,7,64
1126210,214,1081,41948,8,80,NSW,13434,8,79
1126211,308,976,17059,4,33,NSW,6152,4,36
1126212,438,956,13783,3,27,NSW,5066,3,30
1126213,223,1031,29064,6,56,NSW,9795,6,58
1126214,446,909,8148,2,16,NSW,3144,2,19
1126215,393,879,5563,2,11,NSW,2145,2,13
1126216,338,898,7139,2,14,NSW,2763,2,17
1126301,527,959,14252,3,28,NSW,5216,4,31
1126302,571,948,12735,3,25,NSW,4712,3,28
1126303,274,877,5429,2,11,NSW,2087,2,13
1126304,505,814,2450,1,5,NSW,978,1,6
1126305,389,927,9987,2,19,NSW,3784,3,23
1126306,368,983,18398,4,35,NSW,6568,4,39
1126307,245,880,5692,2,11,NSW,2197,2,13
1126308,307,995,20725,4,40,NSW,7314,5,43
1126309,326,1060,36508,7,70,NSW,11930,7,70
1126310,198,1022,26740,6,51,NSW,9101,6,54
1126311,500,1081,41880,8,80,NSW,13414,8,79
1126312,296,1054,34979,7,67,NSW,11481,7,68
1126313,508,893,6689,2,13,NSW,2594,2,16
1126314,162,959,14335,3,28,NSW,5247,4,31
1126315,300,945,12245,3,24,NSW,4552,3,27
1126316,344,777,1582,1,4,NSW,635,1,4
1126317,309,946,12376,3,24,NSW,4591,3,27
1126318,324,907,7963,2,16,NSW,3078,2,18
1126319,409,953,13365,3,26,NSW,4925,3,29
1126320,291,920,9212,2,18,NSW,3539,3,21
1126321,305,948,12765,3,25,NSW,4719,3,28
1126401,300,996,20821,4,40,NSW,7342,5,43
1126402,359,905,7741,2,15,NSW,2995,2,18
1126403,245,973,16600,4,32,NSW,6001,4,36
1126404,297,959,14289,3,28,NSW,5231,4,31
1126405,269,907,7889,2,16,NSW,3051,2,18
1126406,453,887,6158,2,12,NSW,2396,2,14
1126407,336,1007,23154,5,45,NSW,8040,5,47
1126408,411,978,17397,4,34,NSW,6258,4,37
1126409,365,1007,23256,5,45,NSW,8080,5,48
1126410,335,959,14369,3,28,NSW,5261,4,31
1126411,199,1016,25283,5,49,NSW,8664,6,51
1126501,361,892,6592,2,13,NSW,2555,2,15
1126502,235,887,6218,2,12,NSW,2415,2,15
1126503,450,851,3935,1,8,NSW,1535,1,9
1126504,303,918,9039,2,18,NSW,3471,3,21
1126505,489,913,8535,2,17,NSW,3292,2,20
1126506,432,907,7960,2,16,NSW,3077,2,18
1126507,243,904,7675,2,15,NSW,2973,2,18
1126510,412,966,15409,3,30,NSW,5607,4,33
1126511,230,859,4329,1,9,NSW,1679,1,10
1126512,460,857,4217,1,9,NSW,1640,1,10
1126513,177,1106,47672,10,91,NSW,15234,9,89
1126514,529,1070,39278,8,75,NSW,12662,8,74
1126515,415,997,21026,4,40,NSW,7411,5,44
1126516,298,1058,36227,7,69,NSW,11845,7,70
1126602,169,882,5837,2,12,NSW,2263,2,14
1126603,206,875,5276,2,11,NSW,2021,2,12
1126604,309,931,10447,2,20,NSW,3940,3,23
1126605,361,875,5291,2,11,NSW,2022,2,12
1126606,244,1054,35084,7,67,NSW,11518,7,68
1126607,416,968,15661,3,30,NSW,5689,4,34
1126608,326,990,19789,4,38,NSW,7001,5,41
1126609,289,923,9589,2,19,NSW,3647,3,22
1126610,191,845,3616,1,7,NSW,1433,1,9
1126611,210,885,6014,2,12,NSW,2333,2,14
1126612,409,947,12575,3,24,NSW,4656,3,28
1126613,316,986,18903,4,36,NSW,6735,4,40
1126614,290,885,6022,2,12,NSW,2337,2,14
1126615,382,997,20966,4,40,NSW,7388,5,44
1126616,292,1011,24105,5,46,NSW,8307,5,49
1126617,273,1073,40069,8,77,NSW,12864,8,76
1126618,359,1016,25455,5,49,NSW,8709,6,51
1126619,420,1028,28426,6,55,NSW,9600,6,57
1126620,365,838,3342,1,7,NSW,1339,1,8
1126621,216,1061,36986,8,71,NSW,12054,8,71
1126622,269,834,3162,1,7,NSW,1276,1,8
1126701,298,999,21615,5,42,NSW,7576,5,45
1126702,349,1014,24973,5,48,NSW,8577,6,51
1126703,345,1087,43490,9,83,NSW,13911,9,82
1126704,315,1100,46466,9,89,NSW,14832,9,87
1126705,253,925,9839,2,19,NSW,3735,3,22
1126707,359,978,17343,4,33,NSW,6233,4,37
1126708,405,1055,35471,7,68,NSW,11639,7,68
1126709,507,1047,33360,7,64,NSW,11024,7,65
1126710,349,1110,48388,10,93,NSW,15484,10,91
1126711,452,1112,48713,10,93,NSW,15609,10,92
1126712,400,1103,46966,9,90,NSW,14987,9,88
1126713,289,967,15534,3,30,NSW,5646,4,33
1126714,477,1093,44808,9,86,NSW,14322,9,84
1126715,388,1127,50919,10,97,NSW,16417,10,96
1126716,260,1082,42136,9,81,NSW,13482,8,79
1126717,474,999,21577,5,42,NSW,7569,5,45
1126718,452,1022,26810,6,51,NSW,9123,6,54
1126719,401,1028,28256,6,54,NSW,9560,6,56
1126720,264,1104,47272,9,90,NSW,15094,9,89
1126721,471,1119,49802,10,95,NSW,15993,10,94
1126722,317,1017,25579,5,49,NSW,8745,6,52
1126723,437,970,16101,4,31,NSW,5841,4,35
1126724,264,1053,34903,7,67,NSW,11455,7,67
1126725,519,1073,40050,8,77,NSW,12859,8,76
1126726,272,932,10594,3,21,NSW,3988,3,24
1126727,543,712,823,1,2,NSW,306,1,2
1126728,318,899,7181,2,14,NSW,2780,2,17
1126729,432,798,1994,1,4,NSW,799,1,5
1126730,224,760,1322,1,3,NSW,535,1,4
1126731,345,1075,40602,8,78,NSW,13016,8,76
1126732,441,1034,29820,6,57,NSW,9997,6,59
1126733,364,944,12149,3,24,NSW,4518,3,27
1126734,287,993,20220,4,39,NSW,7140,5,42
1126735,214,1060,36580,7,70,NSW,11945,7,70
1126736,495,1071,39434,8,76,NSW,12702,8,75
1126737,457,1087,43523,9,83,NSW,13918,9,82
1126738,339,1099,46140,9,88,NSW,14734,9,87
1126739,628,1130,51306,10,98,NSW,16573,10,97
1126740,259,992,20126,4,39,NSW,7110,5,42
1126741,497,1063,37329,8,72,NSW,12152,8,71
1126742,236,1010,23878,5,46,NSW,8249,5,49
1126743,497,1026,27695,6,53,NSW,9387,6,55
1126801,409,1107,47859,10,92,NSW,15301,9,90
1126802,290,1080,41654,8,80,NSW,13341,8,78
1126803,297,1085,42885,9,82,NSW,13722,9,81
1126804,351,1079,41585,8,80,NSW,13319,8,78
1126805,405,1051,34388,7,66,NSW,11317,7,67
1126806,129,1106,47701,10,91,NSW,15250,9,90
1126807,110,1112,48702,10,93,NSW,15606,10,92
1126809,572,966,15426,3,30,NSW,5614,4,33
1126810,166,1069,38985,8,75,NSW,12592,8,74
1126811,32,1049,33741,7,65,NSW,11148,7,66
1126812,177,940,11567,3,22,NSW,4331,3,26
1126901,741,1133,51514,10,98,NSW,16652,10,98
1126902,529,1107,47880,10,92,NSW,15311,9,90
1126903,408,1082,42321,9,81,NSW,13543,8,80
1126904,395,1092,44584,9,85,NSW,14241,9,84
1126905,951,1090,44168,9,85,NSW,14113,9,83
1126906,538,1118,49711,10,95,NSW,15960,10,94
1126907,241,999,21602,5,42,NSW,7573,5,45
1126910,614,1050,33968,7,65,NSW,11207,7,66
1126911,430,1132,51465,10,98,NSW,16628,10,98
1126912,516,1118,49737,10,95,NSW,15969,10,94
1126913,401,1017,25546,5,49,NSW,8736,6,51
1126914,305,828,2903,1,6,NSW,1159,1,7
1126915,413,896,6926,2,14,NSW,2683,2,16
1126916,386,1022,26661,6,51,NSW,9072,6,53
1126917,352,1022,26687,6,51,NSW,9080,6,54
1126918,757,1092,44592,9,85,NSW,14244,9,84
1126919,890,1053,34695,7,66,NSW,11396,7,67
1126920,508,1109,48193,10,92,NSW,15424,10,91
1126921,419,913,8520,2,17,NSW,3285,2,20
1126922,526,943,11950,3,23,NSW,4454,3,26
1126923,396,943,12016,3,23,NSW,4475,3,27
1126924,547,655,521,1,1,NSW,183,1,2
1126925,247,962,14763,3,29,NSW,5383,4,32
1126926,240,1013,24727,5,48,NSW,8489,5,50
1126927,459,831,3038,1,6,NSW,1217,1,8
1126928,508,750,1186,1,3,NSW,476,1,3
1126929,437,912,8402,2,16,NSW,3238,2,19
1126930,324,1059,36377,7,70,NSW,11891,7,70
1126931,335,960,14428,3,28,NSW,5280,4,31
1126932,410,992,20061,4,39,NSW,7088,5,42
1126933,375,978,17338,4,33,NSW,6231,4,37
1126934,459,984,18627,4,36,NSW,6644,4,39
1126935,532,1047,33140,7,64,NSW,10946,7,64
1126936,388,509,161,1,1,NSW,45,1,1
1126937,326,494,143,1,1,NSW,41,1,1
1126938,361,917,8918,2,17,NSW,3416,2,20
1126939,432,851,3930,1,8,NSW,1532,1,9
1126940,399,1026,27729,6,53,NSW,9399,6,55
1126941,302,1126,50829,10,97,NSW,16377,10,96
1126942,369,1054,35067,7,67,NSW,11511,7,68
1126943,261,1051,34168,7,65,NSW,11262,7,66
1126944,509,1064,37583,8,72,NSW,12220,8,72
1126945,453,1078,41284,8,79,NSW,13221,8,78
1126946,376,1022,26826,6,52,NSW,9128,6,54
1126947,351,1002,22120,5,43,NSW,7733,5,46
1126948,417,1038,30897,6,59,NSW,10306,7,61
1126949,328,842,3498,1,7,NSW,1393,1,9
1127001,342,1076,40757,8,78,NSW,13053,8,77
1127002,105,1090,44120,9,84,NSW,14102,9,83
1127003,319,994,20398,4,39,NSW,7203,5,43
1127004,384,653,512,1,1,NSW,178,1,2
1127005,454,509,162,1,1,NSW,46,1,1
1127006,305,736,1042,1,2,NSW,403,1,3
1127007,492,625,425,1,1,NSW,144,1,1
1127008,307,917,8956,2,18,NSW,3432,3,21
1127009,470,787,1763,1,4,NSW,708,1,5
1127010,433,1008,23389,5,45,NSW,8124,5,48
1127011,413,901,7315,2,14,NSW,2836,2,17
1127012,437,982,18223,4,35,NSW,6518,4,39
1127013,508,1016,25443,5,49,NSW,8706,6,51
1127014,380,1060,36605,7,70,NSW,11950,7,70
1127015,290,1026,27773,6,53,NSW,9416,6,55
1127016,314,1055,35333,7,68,NSW,11593,7,68
1127017,279,1015,25031,5,48,NSW,8592,6,51
1127018,339,1035,30037,6,58,NSW,10066,6,59
1127019,435,998,21217,5,41,NSW,7464,5,44
1127020,338,1144,52211,10,100,NSW,16977,10,100
1127021,548,980,17857,4,34,NSW,6406,4,38
1127022,455,1044,32428,7,62,NSW,10737,7,63
1127023,364,995,20579,4,40,NSW,7267,5,43
1127024,326,983,18268,4,35,NSW,6530,4,39
1127025,472,906,7859,2,15,NSW,3041,2,18
1127026,310,1029,28433,6,55,NSW,9602,6,57
1127027,301,990,19757,4,38,NSW,6993,5,41
1127028,369,1021,26576,6,51,NSW,9047,6,53
1127029,395,967,15619,3,30,NSW,5677,4,34
1127031,427,998,21307,5,41,NSW,7490,5,44
1127032,458,1005,22740,5,44,NSW,7923,5,47
1127101,196,1016,25237,5,49,NSW,8655,6,51
1127103,221,1026,27761,6,53,NSW,9414,6,55
1127104,302,1095,45284,9,87,NSW,14464,9,85
1127105,136,1025,27640,6,53,NSW,9370,6,55
1127106,477,977,17197,4,33,NSW,6193,4,37
1127107,331,917,8859,2,17,NSW,3396,2,20
1127108,302,1064,37760,8,72,NSW,12266,8,72
1127109,306,1053,34837,7,67,NSW,11436,7,67
1127110,303,986,18917,4,36,NSW,6739,4,40
1127111,410,963,14982,3,29,NSW,5454,4,32
1127112,392,971,16235,4,31,NSW,5890,4,35
1127113,192,1069,39072,8,75,NSW,12609,8,74
1127114,230,940,11654,3,23,NSW,4359,3,26
1127115,621,968,15666,3,30,NSW,5692,4,34
1127116,517,1021,26444,6,51,NSW,9009,6,53
1127117,229,1022,26878,6,52,NSW,9143,6,54
1127118,236,1089,43778,9,84,NSW,14001,9,82
1127119,272,1074,40211,8,77,NSW,12906,8,76
1127120,194,1050,34114,7,65,NSW,11246,7,66
1127121,225,982,18217,4,35,NSW,6516,4,39
1127122,477,1086,43115,9,83,NSW,13791,9,81
1127123,417,1090,44111,9,84,NSW,14097,9,83
1127124,362,1060,36635,7,70,NSW,11962,7,70
1127125,275,975,16976,4,33,NSW,6123,4,36
1127126,383,873,5169,1,10,NSW,1991,2,12
1127127,523,1023,27113,6,52,NSW,9212,6,54
1127128,411,962,14745,3,29,NSW,5377,4,32
1127129,539,1078,41217,8,79,NSW,13199,8,78
1127130,392,1000,21823,5,42,NSW,7642,5,45
1127131,224,875,5306,2,11,NSW,2027,2,12
1127132,320,1027,28090,6,54,NSW,9512,6,56
1127135,354,1023,27150,6,52,NSW,9221,6,54
1127136,570,1080,41727,8,80,NSW,13366,8,79
1127137,517,1070,39273,8,75,NSW,12659,8,74
1127138,470,1007,23320,5,45,NSW,8096,5,48
1127139,378,927,10017,2,20,NSW,3799,3,23
1127140,235,913,8530,2,17,NSW,3289,2,20
1127141,308,1081,41995,8,80,NSW,13446,8,79
1127142,171,928,10167,2,20,NSW,3837,3,23
1127201,367,1109,48165,10,92,NSW,15413,9,90
1127202,566,1065,37868,8,73,NSW,12293,8,72
1127203,375,995,20612,4,40,NSW,7278,5,43
1127204,381,1057,35784,7,69,NSW,11719,7,69
1127205,298,1016,25409,5,49,NSW,8695,6,51
1127206,251,1038,30838,6,59,NSW,10287,7,61
1127207,444,1098,45992,9,88,NSW,14692,9,86
1127208,189,1079,41523,8,79,NSW,13296,8,78
1127209,433,1080,41849,8,80,NSW,13405,8,79
1127210,285,1099,46118,9,88,NSW,14728,9,86
1127211,290,1110,48357,10,92,NSW,15475,10,91
1127212,296,1063,37522,8,72,NSW,12205,8,72
1127213,372,1074,40315,8,77,NSW,12937,8,76
1127214,253,1057,35860,7,69,NSW,11744,7,69
1127215,291,1054,34980,7,67,NSW,11482,7,68
1127216,197,1044,32405,7,62,NSW,10725,7,63
1127217,520,975,16940,4,33,NSW,6112,4,36
1127218,234,954,13617,3,26,NSW,5011,3,30
1127219,321,853,4007,1,8,NSW,1561,1,10
1127220,318,1002,22131,5,43,NSW,7737,5,46
1127221,258,872,5115,1,10,NSW,1964,2,12
1127222,462,1033,29477,6,57,NSW,9914,6,58
1127223,413,983,18280,4,35,NSW,6535,4,39
1127224,472,965,15265,3,30,NSW,5555,4,33
1127301,77,1005,22884,5,44,NSW,7963,5,47
1127302,435,896,6904,2,14,NSW,2673,2,16
1127303,337,942,11828,3,23,NSW,4421,3,26
1127304,263,1028,28200,6,54,NSW,9540,6,56
1127305,448,976,17017,4,33,NSW,6136,4,36
1127306,401,983,18246,4,35,NSW,6523,4,39
1127307,508,940,11629,3,23,NSW,4351,3,26
1127308,498,960,14500,3,28,NSW,5298,4,31
1127309,124,1023,26926,6,52,NSW,9158,6,54
1127310,324,1007,23299,5,45,NSW,8094,5,48
1127312,103,986,18852,4,36,NSW,6719,4,40
1127401,261,947,12621,3,25,NSW,4670,3,28
1127402,99,553,242,1,1,NSW,77,1,1
1127403,320,970,16102,4,31,NSW,5842,4,35
1127404,306,976,17079,4,33,NSW,6157,4,36
1127405,235,993,20337,4,39,NSW,7186,5,42
1127406,325,922,9509,2,19,NSW,3624,3,22
1127407,336,992,20057,4,39,NSW,7085,5,42
1127408,493,944,12140,3,24,NSW,4514,3,27
1127409,225,970,16134,4,31,NSW,5858,4,35
1127410,274,930,10339,2,20,NSW,3901,3,23
1127411,379,951,13171,3,26,NSW,4851,3,29
1127412,316,945,12231,3,24,NSW,4544,3,27
1127413,291,964,15088,3,29,NSW,5496,4,33
1127414,259,1040,31364,6,60,NSW,10454,7,62
1127416,622,912,8365,2,16,NSW,3226,2,19
1127601,282,951,13196,3,26,NSW,4861,3,29
1127602,448,962,14803,3,29,NSW,5395,4,32
1127603,443,997,21023,4,40,NSW,7410,5,44
1127604,340,952,13266,3,26,NSW,4887,3,29
1127605,412,1045,32575,7,62,NSW,10784,7,63
1127606,421,999,21470,5,41,NSW,7541,5,45
1127607,467,1031,29118,6,56,NSW,9812,6,58
1127608,331,1078,41227,8,79,NSW,13204,8,78
1127609,392,1066,38099,8,73,NSW,12347,8,73
1127610,292,1088,43634,9,83,NSW,13954,9,82
1127701,442,997,20968,4,40,NSW,7390,5,44
1127702,375,979,17651,4,34,NSW,6335,4,37
1127703,490,750,1190,1,3,NSW,478,1,3
1127704,241,1056,35656,7,68,NSW,11687,7,69
1127705,378,947,12559,3,24,NSW,4652,3,28
1127706,210,1092,44509,9,85,NSW,14210,9,83
1127707,263,1043,32313,7,62,NSW,10703,7,63
1127708,350,1061,36920,8,71,NSW,12038,8,71
1127709,290,1050,34085,7,65,NSW,11242,7,66
1127710,336,1058,36175,7,69,NSW,11832,7,70
1127711,473,1093,44796,9,86,NSW,14316,9,84
1127712,457,922,9498,2,19,NSW,3619,3,22
1127713,285,780,1626,1,4,NSW,650,1,4
1127714,363,887,6200,2,12,NSW,2409,2,15
1127715,317,988,19415,4,37,NSW,6900,5,41
1127716,293,941,11823,3,23,NSW,4419,3,26
1127717,501,972,16390,4,32,NSW,5936,4,35
1127718,411,1015,25141,5,48,NSW,8619,6,51
1127719,366,900,7254,2,14,NSW,2810,2,17
1127720,315,900,7251,2,14,NSW,2809,2,17
1127721,414,1091,44299,9,85,NSW,14146,9,83
1127722,311,1063,37455,8,72,NSW,12187,8,72
1127723,463,840,3406,1,7,NSW,1365,1,8
1127724,232,869,4932,1,10,NSW,1898,2,12
1127725,516,951,13186,3,26,NSW,4856,3,29
1127726,367,1025,27513,6,53,NSW,9332,6,55
1127727,575,1031,29041,6,56,NSW,9787,6,58
1127728,476,974,16722,4,32,NSW,6042,4,36
1127729,319,1018,25737,5,49,NSW,8795,6,52
1127730,506,1078,41305,8,79,NSW,13232,8,78
1127731,342,1083,42579,9,81,NSW,13614,8,80
1127732,540,1084,42805,9,82,NSW,13693,8,80
1127733,574,848,3754,1,8,NSW,1477,1,9
1127734,336,929,10232,2,20,NSW,3864,3,23
1127735,346,1004,22686,5,44,NSW,7907,5,47
1127736,218,971,16190,4,31,NSW,5876,4,35
1127737,569,992,20092,4,39,NSW,7099,5,42
1127738,253,974,16684,4,32,NSW,6028,4,36
1127739,380,976,17053,4,33,NSW,6150,4,36
1127741,336,1072,39795,8,76,NSW,12792,8,75
1127801,510,1031,29015,6,56,NSW,9776,6,58
1127802,345,974,16753,4,32,NSW,6053,4,36
1127803,573,977,17161,4,33,NSW,6184,4,37
1127804,207,981,17964,4,35,NSW,6443,4,38
1127806,94,920,9289,2,18,NSW,3564,3,21
1127807,752,1022,26858,6,52,NSW,9138,6,54
1127808,259,727,952,1,2,NSW,366,1,3
1127809,348,878,5507,2,11,NSW,2121,2,13
1127810,371,447,74,1,1,NSW,19,1,1
1127811,477,603,361,1,1,NSW,118,1,1
1127812,489,654,519,1,1,NSW,182,1,2
1127813,478,903,7562,2,15,NSW,2933,2,18
1127814,953,942,11935,3,23,NSW,4449,3,26
1127815,583,871,5062,1,10,NSW,1943,2,12
1127816,515,858,4227,1,9,NSW,1645,1,10
1127817,328,840,3395,1,7,NSW,1358,1,8
1127818,360,817,2562,1,5,NSW,1029,1,7
1127819,381,694,707,1,2,NSW,258,1,2
1127820,344,985,18769,4,36,NSW,6692,4,40
1127821,435,751,1213,1,3,NSW,486,1,3
1127822,450,1066,38139,8,73,NSW,12358,8,73
1127823,238,1026,27719,6,53,NSW,9395,6,55
1127824,70,940,11598,3,23,NSW,4340,3,26
1127825,359,1080,41700,8,80,NSW,13356,8,78
1127826,661,1048,33411,7,64,NSW,11042,7,65
1127827,293,984,18521,4,36,NSW,6604,4,39
1127828,469,1045,32806,7,63,NSW,10857,7,64
1127829,435,964,15026,3,29,NSW,5473,4,32
1127830,322,854,4074,1,8,NSW,1587,1,10
1127831,236,802,2112,1,5,NSW,845,1,5
1127832,430,989,19447,4,37,NSW,6908,5,41
1127833,325,873,5195,1,10,NSW,1999,2,12
1127834,285,951,13114,3,25,NSW,4834,3,29
1127835,424,892,6545,2,13,NSW,2535,2,15
1127836,301,894,6746,2,13,NSW,2617,2,16
1127837,245,950,13030,3,25,NSW,4807,3,29
1127838,206,1014,24927,5,48,NSW,8562,5,50
1127839,491,1015,25099,5,48,NSW,8606,6,51
1127840,616,825,2814,1,6,NSW,1120,1,7
1127841,338,966,15461,3,30,NSW,5622,4,33
1127842,369,676,608,1,2,NSW,219,1,2
1127843,326,940,11626,3,23,NSW,4349,3,26
1127844,349,947,12624,3,25,NSW,4672,3,28
1127845,395,1016,25381,5,49,NSW,8689,6,51
1127846,444,1061,36879,8,71,NSW,12029,8,71
1127904,608,939,11526,3,22,NSW,4317,3,26
1127905,368,968,15773,4,31,NSW,5729,4,34
1127906,223,1056,35607,7,68,NSW,11679,7,69
1127907,283,967,15552,3,30,NSW,5651,4,33
1127908,381,920,9192,2,18,NSW,3531,3,21
1127909,385,935,10975,3,21,NSW,4109,3,24
1127910,396,964,15129,3,29,NSW,5509,4,33
1127911,619,1008,23399,5,45,NSW,8128,5,48
1127912,282,882,5843,2,12,NSW,2265,2,14
1127913,370,996,20818,4,40,NSW,7341,5,43
1127914,222,850,3873,1,8,NSW,1514,1,9
